id,vocalized,unvocalized,wordtype,root,wazn,category,gender,feminin,masculin,broken_plural,feminable,masculin_plural,feminin_plural,mamnou3_sarf,relative,plural_tanwin_nasb
1128,مُتَذَرِّعٌ,متذرع,فاعل:,ذرع,,فاعل,مذكر,,,,1,1,1,0,0,
1129,ذَارِعٌ,ذارع,فاعل:,ذرع,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1130,ذَارِفٌ,ذارف,فاعل:,ذرف,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1131,مُذَرِّفٌ,مذرف,فاعل:,ذرف,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1132,ذَاعِرٌ,ذاعر,فاعل:,ذعر,,فاعل,مذكر,,,,1,1,1,0,0,
1133,ذَاعِفٌ,ذاعف,فاعل:,ذعف,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1134,مُذْعِنٌ,مذعن,فاعل:,ذعن,,فاعل,مذكر,,,,1,1,1,0,0,
1135,ذَاقِنٌ,ذاقن,فاعل:,ذقن,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1136,مُتَذَكِّرٌ,متذكر,فاعل:,ذكر,,فاعل,مذكر,,,,1,1,1,0,0,
1137,ذَاكِرٌ,ذاكر,فاعل:,ذكر,,فاعل,مذكر,,,,1,1,1,0,0,
1138,مُتَذَاكِرٌ,متذاكر,فاعل:,ذكر,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1139,مُسْتَذْكِرٌ,مستذكر,فاعل:,ذكر,مُسْتَفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1140,ذَالِقٌ,ذالق,فاعل:,ذلق,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1141,مُتَذَلِّلٌ,متذلل,فاعل:,ذلل,,فاعل,مذكر,,,,1,1,1,0,0,
1142,مُذَلِّلٌ,مذلل,فاعل:,ذلل,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1143,مُتَذَمِّرٌ,متذمر,فاعل:,ذمر,,فاعل,مذكر,,,,1,1,1,0,0,
1144,ذَامِرٌ,ذامر,فاعل:,ذمر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1145,مُذِمٌّ,مذم,فاعل:,ذمم,,فاعل,مذكر,,,,1,0,1,0,0,
1146,مُذْنِبٌ,مذنب,فاعل:,ذنب,,فاعل,مذكر,,,,1,1,1,0,0,
1147,ذَانِبٌ,ذانب,فاعل:,ذنب,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1148,ذَاهِبٌ,ذاهب,فاعل:,ذهب,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1149,مُذْهِلٌ,مذهل,فاعل:,ذهل,,فاعل,مذكر,,,,1,1,1,0,0,
1150,مُنْذَهِلٌ,منذهل,فاعل:,ذهل,,فاعل,مذكر,,,,1,1,1,0,0,
1151,ذَاهِلٌ,ذاهل,فاعل:,ذهل,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1152,ذَاهِنٌ,ذاهن,فاعل:,ذهن,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1153,مُذَوِّبٌ,مذوب,فاعل:,ذوب,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1154,مُذَوِّدٌ,مذود,فاعل:,ذود,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1155,مُتَذَوِّقٌ,متذوق,فاعل:,ذوق,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1156,ذَاوِي,ذاوي,فاعل:,ذوي,,فاعل,مذكر,,,,1,0,1,0,0,
1157,ذَائِدٌ,ذائد,فاعل:,ذيد,,فاعل,مذكر,,,ذُوَّدٌ;ذُوَّادٌ,1,1,1,0,0,
1158,مُذِيعٌ,مذيع,فاعل:,ذيع,,فاعل,مذكر,,,,1,1,1,0,0,
1159,ذَائِعٌ,ذائع,فاعل:,ذيع,,فاعل,مذكر,,,,1,1,1,0,0,
1160,ذَائِلٌ,ذائل,فاعل:,ذيل,,فاعل,مذكر,,,,1,0,1,0,0,
1161,مُذَيِّلٌ,مذيل,فاعل:,ذيل,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1162,رَائِزٌ,رائز,فاعل:,رأز,,فاعل,مذكر,,,رَوَائِزُ;رَازَةٌ,1,0,1,0,0,
1163,مُرَبِّتٌ,مربت,فاعل:,ربت,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1164,رَابِثٌ,رابث,فاعل:,ربث,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1165,مُرَبِّثٌ,مربث,فاعل:,ربث,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1166,رَابِحٌ,رابح,فاعل:,ربح,,فاعل,مذكر,,,,1,1,1,0,0,
1167,رَابِدٌ,رابد,فاعل:,ربد,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1168,مُتَرَبِّصٌ,متربص,فاعل:,ربص,,فاعل,مذكر,,,,1,1,1,0,0,
1169,رَابِصٌ,رابص,فاعل:,ربص,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1170,رَابِضٌ,رابض,فاعل:,ربض,,فاعل,مذكر,,,رُبُوضٌ;رَوَابِضُ,1,1,1,0,0,
1171,مُرْتَبِطٌ,مرتبط,فاعل:,ربط,,فاعل,مذكر,,,,1,1,1,0,0,
1172,مُتَرَابِطٌ,مترابط,فاعل:,ربط,,فاعل,مذكر,,,,1,1,1,0,0,
1173,رَابِطٌ,رابط,فاعل:,ربط,,فاعل,مذكر,,,,1,1,1,0,0,
1174,مُرَابِطٌ,مرابط,فاعل:,ربط,مُفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1175,مُتَرَبِّعٌ,متربع,فاعل:,ربع,,فاعل,مذكر,,,,1,1,1,0,0,
1176,رَابِقٌ,رابق,فاعل:,ربق,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1177,مُرْتَبِكٌ,مرتبك,فاعل:,ربك,,فاعل,مذكر,,,,1,1,1,0,0,
1178,مُرْبِكٌ,مربك,فاعل:,ربك,مُفْعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1179,مُتَرَبِّلٌ,متربل,فاعل:,ربل,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1180,مُرَابِي,مرابي,فاعل:,ربو,,فاعل,مذكر,,,,1,1,1,0,0,
1181,مُرَتِّبٌ,مرتب,فاعل:,رتب,,فاعل,مذكر,,,,1,1,1,0,0,
